Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ
XÝch L©n TuyÕt ¶nh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1878	1816	1896	2119	2179	2216	250	191	8	1430	1278	2	8
XÝch L©n TuyÕt ¶nh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	4									1877	1796	1897	1939	2256	2216	250	191	9	1646	1278	2	8
XÝch L©n TuyÕt ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	4									1877	1836	1897	2139	2256	2216	250	191	10	130		2	8
XÝch L©n V©n Anh Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	4									1877	1856	1896	2099	1919	2216	251	192	1	1648	1278	2	8
XÝch L©n V©n Anh Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									1878	1776	1897	1939	2256	2216	251	192	2	1430	1278	2	8
XÝch L©n V©n Anh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	4									1877	1816	1896	2119	2256	2216	251	192	3	130		2	8
XÝch L©n V©n Anh Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									1878	1796	1897	1939	2256	2216	251	192	4	1430	1278	2	8
XÝch L©n V©n Anh Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									1878	1836	1896	2139	2256	2216	251	192	5	1649	1278	2	8
XÝch L©n V©n Anh Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									1878	1856	1896	2099	2157	2216	251	192	6	1430	2826	2	8
XÝch L©n V©n Anh TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove02.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									1978	1776	2039	1939	2258	2216	251	192	7	1430	130	2	8
XÝch L©n V©n Anh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1878	1816	1896	2119	2179	2216	251	192	8	1430	1410	2	8
XÝch L©n V©n Anh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	4									1877	1796	1897	1939	2256	2216	251	192	9	1650	1278	2	8
XÝch L©n V©n Anh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	4									1877	1836	1897	2139	2256	2216	251	192	10	130		2	8
XÝch L©n Minh NguyÖt Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	5									1877	1776	1896	1939	1919	2216	252	193	1	1652	1278	2	8
XÝch L©n Minh NguyÖt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	5									1878	1816	1897	2119	2256	2216	252	193	2	1430	1278	2	8
XÝch L©n Minh NguyÖt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	5									1877	1796	1896	1939	2256	2216	252	193	3	130		2	8
XÝch L©n Minh NguyÖt Tô	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	5									1878	1836	1897	2139	2256	2216	252	193	4	1430	1411	2	8
XÝch L©n Minh NguyÖt Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash23.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	5									1878	1856	1896	2099	2256	2216	252	193	5	1653	1278	2	8
XÝch L©n Minh NguyÖt Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	5									1878	1776	1896	1939	2156	2216	252	193	6	1430	2827	2	8
XÝch L©n Minh NguyÖt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	5									1958	1816	2000	2119	2256	2216	252	193	7	1430	130	2	8
XÝch L©n Minh NguyÖt Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	5									1878	1796	1896	1939	2179	2216	252	193	8	1430	1278	2	8
XÝch L©n Minh NguyÖt H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	5									1877	1836	1897	2139	2256	2216	252	193	9	1654	1278	2	8
XÝch L©n Minh NguyÖt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	5									1877	1856	1897	2099	2256	2216	252	193	10	130		2	8
XÝch L©n Phï Dung Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	5									1877	1776	1896	1939	1919	2216	253	194	1	1656	1278	2	8
XÝch L©n Phï Dung Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	5									1878	1816	1897	2119	2256	2216	253	194	2	1430	1278	2	8
XÝch L©n Phï Dung Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	5									1877	1796	1896	1939	2256	2216	253	194	3	130		2	8
XÝch L©n Phï Dung Tô	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									1878	1836	1897	2139	2256	2216	253	194	4	1657	1278	2	8
XÝch L©n Phï Dung Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	5									1878	1856	1896	2099	2256	2216	253	194	5	1430	1412	2	8
XÝch L©n Phï Dung Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	5									1878	1776	1896	1939	2156	2216	253	194	6	1430	2828	2	8
XÝch L©n Phï Dung #NhÉn	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(7)	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	120	39	5									1978	1816	2039	2119	2258	2216	253	194	7	1430	130	2	8
XÝch L©n Phï Dung Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	5									1878	1796	1896	1939	2179	2216	253	194	8	1430	1278	2	8
XÝch L©n Phï Dung H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	5									1877	1836	1897	2139	2256	2216	253	194	9	1658	1278	2	8
XÝch L©n Phï Dung H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	5									1877	1856	1897	2099	2256	2216	253	194	10	130		2	8
XÝch L©n La S¸t H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck23.spr	36	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	3									1877	1776	1896	1939	1919	2216	254	195	1	1660	1278	2	8
XÝch L©n La S¸t §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap24.spr	28	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									1878	1816	1897	2119	2256	2216	254	195	2	1430	2829	2	8
XÝch L©n La S¸t Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring19.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	3									1877	1796	1896	1939	2256	2216	254	195	3	130		2	8
XÝch L©n La S¸t Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle24.spr	34	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									1878	1836	1897	2139	2256	2216	254	195	4	1430	1278	2	8
XÝch L©n La S¸t Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash24.spr	32	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									1878	1856	1896	2099	2256	2216	254	195	5	1661	1278	2	8
XÝch L©n La S¸t BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth24.spr	22	2	3	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									1878	1776	1896	1939	2156	2216	254	195	6	1430	1413	2	8
XÝch L©n La S¸t TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove03.spr	9	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									1977	1816	2019	2119	2258	2216	254	195	7	1430	130	2	8
XÝch L©n La S¸t Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									1878	1796	1896	1939	2179	2216	254	195	8	1430	1278	2	8
XÝch L©n La S¸t Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist23.spr	36	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	3									1877	1836	1897	2139	2256	2216	254	195	9	1662	1278	2	8
XÝch L©n La S¸t H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring20.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	3									1877	1856	1897	2099	2256	2216	254	195	10	130		2	8
XÝch L©n Tu La H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck23.spr	36	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	3									1877	1776	1896	1939	1919	2216	255	196	1	1664	1278	2	8
XÝch L©n Tu La §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap24.spr	28	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									1878	1816	1897	2119	2256	2216	255	196	2	1430	2830	2	8
XÝch L©n Tu La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring19.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	3									1877	1796	1896	1939	2256	2216	255	196	3	130		2	8
XÝch L©n Tu La Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle24.spr	34	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									1878	1836	1897	2139	2256	2216	255	196	4	1430	1278	2	8
XÝch L©n Tu La Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash24.spr	33	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									1878	1856	1896	2099	2256	2216	255	196	5	1665	1278	2	8
XÝch L©n Tu La Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth24.spr	22	2	3	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									1878	1776	1896	1939	2156	2216	255	196	6	1430	1414	2	8
XÝch L©n Tu La B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									1957	1816	2000	2119	2241	2216	255	196	7	1430	130	2	8
XÝch L©n Tu La Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									1878	1796	1896	1939	2179	2216	255	196	8	1430	1278	2	8
XÝch L©n Tu La Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist23.spr	36	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	3									1877	1836	1897	2139	2256	2216	255	196	9	1666	1278	2	8
XÝch L©n Tu La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring20.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	3									1877	1856	1897	2099	2256	2216	255	196	10	130		2	8
XÝch L©n C« Tinh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck23.spr	36	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	2									1877	1856	1896	2099	1919	2216	256	197	1	1668	1278	2	8
XÝch L©n C« Tinh Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap24.spr	28	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1878	1776	1897	1939	2256	2216	256	197	2	1430	2831	2	8
XÝch L©n C« Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring19.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	2									1877	1816	1896	2119	2256	2216	256	197	3	130		2	8
XÝch L©n C« Tinh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle24.spr	34	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1878	1796	1897	1939	2256	2216	256	197	4	1430	1278	2	8
XÝch L©n C« Tinh TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash24.spr	32	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1836	1896	2139	2256	2216	256	197	5	1669	1278	2	8
XÝch L©n C« Tinh Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth24.spr	22	2	3	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1878	1856	1896	2099	2156	2216	256	197	6	1430	1415	2	8
XÝch L©n C« Tinh Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(7)	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	120	39	2									1960	1776	2000	1939	2256	2216	256	197	7	1430	130	2	8
XÝch L©n C« Tinh Lý	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1816	1896	2119	2179	2216	256	197	8	1430	1278	2	8
XÝch L©n C« Tinh Trôy	0	9	1	\spr\item\equip\waist\obj-waist23.spr	36	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	2									1877	1796	1897	1939	2256	2216	256	197	9	1670	1278	2	8
XÝch L©n C« Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring20.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	2									1877	1836	1897	2139	2256	2216	256	197	10	130		2	8
XÝch L©n Th­¬ng Lan H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck23.spr	36	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	2									1877	1856	1896	2099	1919	2216	257	198	1	1668	1278	2	8
XÝch L©n Th­¬ng Lan Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap24.spr	28	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1878	1776	1897	1939	2256	2216	257	198	2	1430	1278	2	8
XÝch L©n Th­¬ng Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring19.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	2									1877	1816	1896	2119	2256	2216	257	198	3	130		2	8
XÝch L©n Th­¬ng Lan Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle24.spr	34	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1878	1796	1897	1939	2256	2216	257	198	4	1430	1278	2	8
XÝch L©n Th­¬ng Lan Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash24.spr	32	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1836	1896	2139	2256	2216	257	198	5	1669	1278	2	8
XÝch L©n Th­¬ng Lan Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth24.spr	22	2	3	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1878	1856	1896	2099	2156	2216	257	198	6	1430	2832	2	8
XÝch L©n Th­¬ng Lan Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart29.spr	17	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(7)	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	120	39	2									1960	1776	2000	1939	2256	2216	257	198	7	1430	130	2	8
XÝch L©n Th­¬ng Lan Lý	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1816	1896	2119	2179	2216	257	198	8	1430	1416	2	8
XÝch L©n Th­¬ng Lan Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist23.spr	36	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	2									1877	1796	1897	1939	2256	2216	257	198	9	1672	1278	2	8
XÝch L©n Th­¬ng Lan H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring20.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	2									1877	1836	1897	2139	2256	2216	257	198	10	130		2	8
XÝch L©n Tô ThÇn Liªn	0	4	1	\spr\item\equip\nick\obj-neck23.spr	36	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	2									1877	1856	1896	2099	1919	2216	258	199	1	1668	1278	2	8
XÝch L©n Tô ThÇn Ph¸t Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap24.spr	28	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1878	1776	1897	1939	2256	2216	258	199	2	1430	1278	2	8
XÝch L©n Tô ThÇn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring19.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	2									1877	1816	1896	2119	2256	2216	258	199	3	130		2	8
XÝch L©n Tô ThÇn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle24.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1878	1796	1897	1939	2256	2216	258	199	4	1430	1278	2	8
XÝch L©n Tô ThÇn Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash24.spr	32	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1836	1896	2139	2256	2216	258	199	5	1669	1278	2	8
XÝch L©n Tô ThÇn Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth24.spr	22	2	3	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1878	1856	1896	2099	2156	2216	258	199	6	1430	2833	2	8
XÝch L©n Tô ThÇn Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart27.spr	15	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(7)	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	120	39	2									1960	1776	2000	1939	2256	2216	258	199	7	1430	130	2	8
XÝch L©n Tô ThÇn Lý	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1878	1816	1896	2119	2179	2216	258	199	8	1430	1417	2	8
